ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
365,Sighting,DPIPWE,-42.9169,147.3618,Bottlenose dolphin - Common,Tursiops truncatus,50,1899
366,Sighting,DPIPWE,-42.2404,148.3285,Hourglass dolphin,Lagenorhynchus cruciger,6,2006
367,Sighting,DPIPWE,-42.4599,148.2514,Unidentified dolphin,Unidentified dolphin,20,1899
368,Sighting,DPIPWE,-40.3737,144.9609,Unidentified dolphin,Unidentified dolphin,100,1899
369,Sighting,DPIPWE,-42.16,148.35,Unidentified dolphin,Unidentified dolphin,1,1993
370,Sighting,DPIPWE,-42.01,148.31,Unidentified dolphin,Unidentified dolphin,1,1993
371,Sighting,DPIPWE,-40.23,144.39,Unidentified dolphin,Unidentified dolphin,1,1993
372,Sighting,DPIPWE,-43.25,147.79,Unidentified dolphin,Unidentified dolphin,1,1992
373,Sighting,DPIPWE,-41.4638,148.2733,Unidentified dolphin,Unidentified dolphin,1,1990
374,Sighting,DPIPWE,-43.14,148.05,Unidentified dolphin,Unidentified dolphin,1,1989
375,Sighting,DPIPWE,-42.91,147.38,Unidentified dolphin,Unidentified dolphin,1,1999
376,Sighting,DPIPWE,-43.33,148.27,Unidentified dolphin,Unidentified dolphin,1,1999
377,Sighting,DPIPWE,-42.92,147.59,Common dolphin - Short-beaked,Delphinus delphis,1,2002
378,Sighting,DPIPWE,-40.45,144.82,Common dolphin - Short-beaked,Delphinus delphis,1,2002
379,Sighting,DPIPWE,-43.14,148.02,Common dolphin - Short-beaked,Delphinus delphis,1,2001
