ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
157,Sighting,DPIPWE,-43.14,148.02,Bottlenose dolphin - Common,Tursiops truncatus,4,2000
158,Sighting,DPIPWE,-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
159,Sighting,DPIPWE,-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
160,Sighting,DPIPWE,-42.98,147.33,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
161,Sighting,DPIPWE,-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
162,Sighting,DPIPWE,-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,2,1999
163,Sighting,DPIPWE,-43.17,147.87,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
164,Sighting,DPIPWE,-42.84,147.32,Bottlenose dolphin - Common,Tursiops truncatus,4,1999
165,Sighting,DPIPWE,-42.91,147.38,Bottlenose dolphin - Common,Tursiops truncatus,4,1999
166,Sighting,DPIPWE,-43.17,148.32,Bottlenose dolphin - Common,Tursiops truncatus,300,1999
167,Sighting,DPIPWE,-43.17,147.33,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
168,Sighting,DPIPWE,-42.89,147.38,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
169,Sighting,DPIPWE,-43.45,147.03,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
170,Sighting,DPIPWE,-40.84,148.23,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
171,Sighting,DPIPWE,-41.05,146.54,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
172,Sighting,DPIPWE,-40.34,144.41,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
173,Sighting,DPIPWE,-40.65,147.64,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
174,Sighting,DPIPWE,-40.23,148.01,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
175,Sighting,DPIPWE,-40.23,148.01,Bottlenose dolphin - Common,Tursiops truncatus,1,1999
